"Date","Products"
"2022-02-18","1"
"2022-02-17","2"
"2022-02-16","2"
"2022-02-15","1"
"2022-02-10","2"
"2022-02-07","1"
"2022-02-04","1"
"2022-01-31","56"
"2022-01-28","18"
"2022-01-27","14"
"2022-01-24","4"
"2022-01-17","1"
"2022-01-14","9"
"2022-01-13","1"
"2022-01-12","4"
"2022-01-11","80"
"2022-01-10","1"
"2022-01-07","25"
"2022-01-06","56"
"2022-01-05","3"
"2021-12-26","4"
"2021-12-24","1"
"2021-12-23","2"
"2021-12-22","11"
"2021-12-21","10"
"2021-12-17","32"
"2021-12-15","1"
"2021-12-13","1"
"2021-12-10","1"
"2021-12-07","4"
"2021-12-06","31"
"2021-12-01","9"
"2021-11-24","1"
"2021-11-22","5"
"2021-11-19","9"
"2021-11-18","43"
"2021-11-14","6"
"2021-11-11","1"
"2021-11-09","74"
"2021-11-08","1"
"2021-11-01","4"
"2021-10-28","3"
"2021-10-12","5"
"2021-10-07","37"
"2021-09-28","3"
"2021-09-24","1"
"2021-09-23","1"
"2021-09-20","5"
"2021-09-17","5"
"2021-09-16","16"
"2021-09-15","3"
"2021-09-09","12"
"2021-08-26","11"
"2021-08-19","35"
"2021-08-18","1"
"2021-08-12","16"
"2021-08-11","1"
"2021-08-05","29"
"2021-08-04","3"
"2021-07-16","12"
"2021-07-15","6"
"2021-07-14","4"
"2021-07-12","1"
"2021-07-08","2"
"2021-06-23","1"
"2021-06-22","1"
"2021-06-17","5"
"2021-06-09","3"
"2021-06-03","2"
"2021-05-27","5"
"2021-05-26","17"
"2021-05-25","1"
"2021-05-20","2"
"2021-05-19","2"
"2021-05-14","3"
"2021-05-13","5"
"2021-05-07","1"
"2021-05-06","1"
"2021-05-05","4"
"2021-04-22","9"
"2021-04-16","2"
"2021-04-09","1"
"2021-04-05","2"
"2021-04-01","1"
"2021-03-25","5"
"2021-03-11","8"
"2021-03-09","1"
"2021-03-05","5"
"2021-03-04","3"
"2021-02-16","20"
"2021-01-27","22"
"2021-01-20","2"
"2021-01-19","3"
"2021-01-14","5"
"2021-01-12","4"
"2020-12-23","1"
"2020-12-18","2"
"2020-12-10","2"
"2020-12-01","16"
"2020-11-25","1"
"2020-11-24","1"
"2020-11-20","2"
"2020-11-19","2"
"2020-11-13","2"
"2020-11-12","3"
"2020-11-11","1"
"2020-10-20","1"
"2020-10-01","1"
"2020-09-21","1"
"2020-08-25","3"
"2020-08-24","7"
"2020-08-20","2"
"2020-08-06","2"
"2020-08-05","3"
"2020-07-21","1"
"2020-05-20","11"
"2020-03-02","5"
"2020-02-04","1"
"2020-01-21","1"
"2019-12-23","2"
"2019-11-12","1"
"2019-11-05","1"
"2019-09-09","1"
"2019-08-15","4"
"2019-06-14","1"
"2019-05-22","1"
"2019-01-10","1"
"2018-12-10","1"
"2018-10-25","1"
"2018-09-28","1"
"2018-08-21","1"
"2017-11-08","1"
"2017-06-08","3"
"2017-02-04","1"
"2016-05-25","1"
"2016-05-16","1"
"2014-09-29","2"